+----------------------------------------------+-------+---------+-----------+
| Список материалов голограммы 'Unnamed'                                     |
+----------------------------------------------+-------+---------+-----------+
| Item                                         | Total | Missing | Available |
+----------------------------------------------+-------+---------+-----------+
| Доски из тропического дерева                 | 26922 |   26922 |         0 |
| Плита из полированного диорита               | 16257 |   16257 |         0 |
| Железный люк                                 |  9295 |    9295 |         0 |
| Тёмный призмарин                             |  8950 |    8950 |         0 |
| Окисленные резные медные ступеньки           |  7933 |    7933 |         0 |
| Диорит                                       |  6470 |    6470 |         0 |
| Бирюзовая керамика                           |  5936 |    5936 |         0 |
| Гладкий кварц                                |  5813 |    5813 |         0 |
| Чёрное стекло                                |  5536 |    5536 |         0 |
| Андезит                                      |  5390 |    5390 |         0 |
| Серое стекло                                 |  5350 |    5350 |         0 |
| Диоритовая ограда                            |  5340 |    5340 |         0 |
| Гладкий красный песчаник                     |  4603 |    4603 |         0 |
| Обтёсанное бревно бледного дуба              |  3642 |    3642 |         0 |
| Люк из бледного дуба                         |  3272 |    3272 |         0 |
| Окисленный резной медный блок                |  3224 |    3224 |         0 |
| Полированный диорит                          |  3178 |    3178 |         0 |
| Ограда из красного песчаника                 |  2771 |    2771 |         0 |
| Окисленная резная медная плита               |  2592 |    2592 |         0 |
| Ступеньки из бледного дуба                   |  2557 |    2557 |         0 |
| Плита из бледного дуба                       |  2491 |    2491 |         0 |
| Блок обтёсанного бамбука                     |  2425 |    2425 |         0 |
| Серая стеклянная панель                      |  2372 |    2372 |         0 |
| Ступеньки из гладкого кварца                 |  2361 |    2361 |         0 |
| Призмариновые ступеньки                      |  2330 |    2330 |         0 |
| Обтёсанное еловое бревно                     |  2279 |    2279 |         0 |
| Чёрная стеклянная панель                     |  2088 |    2088 |         0 |
| Доски из бледного дуба                       |  1988 |    1988 |         0 |
| Ножка гриба                                  |  1980 |    1980 |         0 |
| Белая стеклянная панель                      |  1847 |    1847 |         0 |
| Андезитовые ступеньки                        |  1693 |    1693 |         0 |
| Диоритовая плита                             |  1658 |    1658 |         0 |
| Глубинносланцевый плитняк                    |  1612 |    1612 |         0 |
| Вощёная медная решётка                       |  1607 |    1607 |         0 |
| Ступеньки из полированного диорита           |  1576 |    1576 |         0 |
| Полированный глубинный сланец                |  1491 |    1491 |         0 |
| Андезитовая ограда                           |  1399 |    1399 |         0 |
| Гладкий камень                               |  1265 |    1265 |         0 |
| Красный песчаник                             |  1246 |    1246 |         1 |
| Охристая квампа                              |  1196 |    1196 |         0 |
| Полированный андезит                         |  1192 |    1192 |         0 |
| Плита из гладкого камня                      |  1190 |    1190 |         0 |
| Кварцевая колонна                            |  1183 |    1183 |         0 |
| Полированный гранит                          |  1139 |    1139 |         0 |
| Ступеньки из гладкого красного песчаника     |  1106 |    1106 |         0 |
| Еловые доски                                 |  1076 |    1076 |         0 |
| Светло-серая стеклянная панель               |  1025 |    1025 |         0 |
| Дёрн                                         |  1008 |    1008 |         1 |
| Ограда из смоляного кирпича                  |   944 |     944 |         0 |
| Железные прутья                              |   943 |     943 |         0 |
| Ограда из полированного туфа                 |   849 |     849 |         0 |
| Гранитная плита                              |   836 |     836 |         0 |
| Каменные ступеньки                           |   834 |     834 |         0 |
| Каменная плита                               |   745 |     745 |         0 |
