+----------------------------------------------+-------+---------+-----------+
| Список материалов схемы 'Unnamed' (1 компонента из 1)                      |
+----------------------------------------------+-------+---------+-----------+
| Item                                         | Total | Missing | Available |
+----------------------------------------------+-------+---------+-----------+
| Полированный андезит                         | 37676 |   37676 |         0 |
| Чернит                                       | 17571 |   17571 |         0 |
| Полированно-чернитные кирпичи                | 14487 |   14487 |         0 |
| Чёрный сухой бетон                           | 12952 |   12952 |         0 |
| Потрескавшиеся полированно-чернитные кирпичи | 12739 |   12739 |         0 |
| Чёрная шерсть                                | 12617 |   12617 |         0 |
| Потрескавшийся глубинносланцевый плитняк     | 12433 |   12433 |         0 |
| Камень                                       | 10747 |   10747 |         0 |
| Чёрный бетон                                 |  8021 |    8021 |         0 |
| Колотый глубинный сланец                     |  7674 |    7674 |         0 |
| Гладкий базальт                              |  5011 |    5011 |         0 |
| Грязь                                        |  4618 |    4618 |         0 |
| Глубинный сланец                             |  4283 |    4283 |         0 |
| Туф                                          |  4234 |    4234 |         0 |
| Блок бледного мха                            |  3607 |    3607 |         0 |
| Люк из тёмного дуба                          |  3478 |    3478 |         0 |
| Ограда из полированного глубинного сланца    |  3409 |    3409 |         0 |
| Полированный базальт                         |  3404 |    3404 |         0 |
| Гладкий камень                               |  2554 |    2554 |         0 |
| Блок мёртвого коралла-мозговика              |  2469 |    2469 |         0 |
| Грибосвет                                    |  2345 |    2345 |         0 |
| Калитка из тёмного дуба                      |  2335 |    2335 |         0 |
| Цепь                                         |  1870 |    1870 |         0 |
| Глубинносланцевые кирпичи                    |  1851 |    1851 |         0 |
| Ступеньки из глубинносланцевого плитняка     |  1807 |    1807 |         0 |
| Железные прутья                              |  1796 |    1796 |         0 |
| Блок мха                                     |  1621 |    1621 |         0 |
| Дубовые листья                               |  1573 |    1573 |         0 |
| Глубинносланцевый плитняк                    |  1537 |    1537 |         0 |
| Базальт                                      |  1527 |    1527 |         0 |
| Бледный дуб                                  |  1466 |    1466 |         0 |
| Бочка                                        |  1448 |    1448 |         0 |
| Красная шерсть                               |  1444 |    1444 |         0 |
| Полированный глубинный сланец                |  1214 |    1214 |         0 |
| Лестница                                     |  1201 |    1201 |         0 |
| Ограда из колотого глубинного сланца         |  1164 |    1164 |         0 |
| Табличка из тёмного дуба                     |  1134 |    1134 |         0 |
| Листья тропического дерева                   |  1095 |    1095 |         0 |
